City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,port saint john's,-31.6229,29.5448,19.99,86,100,5.84,ZA,1728610484
243,ancud,-41.8697,-73.8203,7.1,86,86,2.38,CL,1728610485
244,quatre cocos,-20.2078,57.7625,22.27,71,100,7.65,MU,1728610486
245,hobyo,5.3505,48.5268,25.06,84,71,8.77,SO,1728610487
246,longyearbyen,78.2186,15.6401,2.91,75,75,6.69,SJ,1728610488
247,tionk essil,12.7856,-16.5217,23.29,95,100,2.84,SN,1728610489
248,weno,7.4515,151.8468,32.97,70,100,3.6,FM,1728610490
249,robore,-18.3333,-59.75,23.31,87,59,1.38,BO,1728610491
250,hadibu,12.65,54.0333,25.37,81,100,1.35,YE,1728610493
251,kenai,60.5544,-151.2583,7.23,71,100,3.6,US,1728610394
252,altay,47.8667,88.1167,12.06,38,0,1.36,CN,1728610495
253,suez,29.9737,32.5263,20.21,89,0,4.35,EG,1728610496
254,vila franca do campo,37.7167,-25.4333,20.23,99,100,7.61,PT,1728610497
255,tanabi,-20.6264,-49.6492,20.22,94,97,2.76,BR,1728610498
256,castaic,34.4889,-118.6229,26.33,41,82,1.59,US,1728610501
257,port lincoln,-34.7333,135.8667,15.13,60,74,5.33,AU,1728610502
258,tofol,5.3248,163.0078,30.88,70,75,1.54,FM,1728610503
259,quirinopolis,-18.4483,-50.4517,24.29,60,50,0.81,BR,1728610504
260,muisne,0.6,-80.0333,24.0,85,100,3.4,EC,1728610505
261,flying fish cove,-10.4217,105.6791,26.82,83,75,6.69,CX,1728610351
262,isafjordur,66.0755,-23.124,-3.01,70,81,3.12,IS,1728610507
263,pemangkat,1.1667,108.9667,27.17,82,100,3.04,ID,1728610508
264,novyy urengoy,66.0833,76.6333,-3.37,90,96,6.19,RU,1728610510
265,fukuecho,32.6881,128.8419,23.2,56,40,5.14,JP,1728610511
266,maracacume,-2.0428,-45.9592,21.94,96,59,1.3,BR,1728610512
267,aleksandrovsk-sakhalinskiy,50.8975,142.1561,11.1,60,100,6.09,RU,1728610513
268,fujin,47.26,132.0322,12.63,31,6,5.04,CN,1728610514
269,kailua-kona,19.6406,-155.9956,28.32,72,0,3.6,US,1728610515
270,pontes e lacerda,-15.2261,-59.3353,28.11,55,84,2.84,BR,1728610516
271,waingapu,-9.6567,120.2641,31.42,60,70,7.06,ID,1728610517
272,figuig (centre),32.1089,-1.2286,23.57,44,0,2.62,MA,1728610519
273,fortuna,40.5982,-124.1573,15.52,84,0,3.6,US,1728610520
274,keetmanshoop,-26.5833,18.1333,26.51,13,36,0.51,NA,1728610521
275,morondava,-20.2833,44.2833,23.75,70,84,3.33,MG,1728610522
276,fort mcmurray,56.7268,-111.381,8.73,53,100,3.6,CA,1728610523
277,lospalos,-8.5186,127.0025,28.88,59,36,5.46,TL,1728610524
278,mandalgovi,45.7625,106.2708,6.78,47,5,2.27,MN,1728610098
279,tommot,58.9564,126.2925,2.43,79,100,2.78,RU,1728610527
280,briare,47.6334,2.7438,9.78,89,68,1.48,FR,1728610528
281,zeribet el oued,34.6828,6.5111,27.7,39,63,4.53,DZ,1728610529
282,ovalle,-30.5983,-71.2003,14.23,83,42,1.01,CL,1728610344
283,island harbour,50.724,-1.2758,7.33,69,39,3.03,GB,1728610532
284,lethem,3.3803,-59.7968,28.9,56,100,3.77,GY,1728610534
285,punta arenas,-53.15,-70.9167,6.06,70,75,7.72,CL,1728610087
286,el galpon,-25.3807,-64.6526,14.15,95,0,0.79,AR,1728610537
287,olinda,-8.0089,-34.8553,26.85,74,40,5.14,BR,1728609794
288,iquique,-20.2208,-70.1431,16.76,69,1,1.81,CL,1728610314
289,saint-joseph,-21.3667,55.6167,19.21,82,44,6.96,RE,1728610540
290,bafoulabe,13.8065,-10.8321,26.13,82,100,1.09,ML,1728610541
291,georgetown,5.4112,100.3354,27.96,89,20,1.03,MY,1728610368
292,la huerta,19.4667,-104.65,22.96,97,71,0.67,MX,1728610543
293,enriquillo,17.9,-71.2333,25.98,86,60,1.96,DO,1728610544
294,fort bragg,35.139,-79.006,15.46,59,0,2.06,US,1728610545
295,ligaya,12.6599,120.8923,29.67,70,3,1.73,PH,1728610547
296,corinto,37.9407,22.9573,20.5,70,100,0.36,GR,1728610548
297,bodaybo,57.8506,114.1933,-0.09,84,100,1.5,RU,1728610549
298,valentin gomez farias,28.2167,-106.5833,18.64,32,20,3.09,MX,1728610550
299,lerwick,60.1545,-1.1494,5.7,70,100,3.67,GB,1728610551
300,dongola,19.1667,30.4833,28.26,20,44,4.37,SD,1728610552
301,jining,35.405,116.5814,21.87,45,0,1.04,CN,1728610554
302,aydarken,39.9443,71.3429,8.24,48,12,3.03,KG,1728610555
303,kharkhorin,47.1975,102.8238,6.49,43,0,2.93,MN,1728610098
304,farias brito,-6.9306,-39.5656,25.29,45,46,2.74,BR,1728610558
305,cova figueira,14.8905,-24.2934,21.12,85,76,5.9,CV,1728610559
306,lee acres,35.1487,-106.647,25.21,19,0,2.24,US,1728610560
307,muroran,42.3172,140.9881,15.0,62,15,1.24,JP,1728610561
308,dunedin,-45.8742,170.5036,12.67,58,12,2.09,NZ,1728610562
309,kas,36.2018,29.6377,21.51,59,42,1.68,TR,1728610563
310,taroa,8.7058,171.2275,28.27,73,100,2.54,MH,1728610564
311,yerofey pavlovich,53.9667,121.9667,3.93,58,30,2.24,RU,1728610565
312,grantsville,40.5999,-112.4644,22.58,30,0,2.57,US,1728610566
313,san patricio,28.017,-97.5169,25.97,56,0,3.93,US,1728610568
314,ahvaz,31.3203,48.6693,19.97,49,0,0.0,IR,1728610569
